"","track_name","artist.s._name","released_year","released_month","in_spotify_playlists","listas_spotify_log","bpm","porcentaje_bailable","porcentaje_energia","porcentaje_acustica","porcentaje_instrumental","porcentaje_voz","porcentaje_envivo","modo","valencia","clave_sol"
"141","Believer","Imagine Dragons",2017,1,18986,9.85145714444174,125,77,78,4,0,11,23,"Minor",74,0
"142","Novo Balanï¿½","Veigh, Bvga Beatz, Supernova Ent, Prod Malax",2023,5,283,5.64544689764324,124,84,50,67,0,6,13,"Minor",65,0
"143","Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2023,6,293,5.68017260901707,133,93,65,42,0,25,12,"Minor",68,0
"144","Without Me","Eminem",2002,1,21081,9.95612743986031,112,92,66,0,0,9,36,"Major",67,1
"145","QUEMA","Sog, Ryan Castro, Peso Pluma",2023,7,437,6.07993319509559,97,79,89,5,0,5,6,"Major",92,0
"146","Stargirl Interlude","The Weeknd, Lana Del Rey",2016,11,1275,7.15070145759253,90,59,48,38,5,11,10,"Minor",52,0
"147","Ojitos Lindos","Bomba Estï¿½ï¿½reo, Bad B",2022,5,6135,8.72176535714501,80,65,69,8,0,4,53,"Minor",27,0
"148","Somewhere Only We Know","Keane",2004,1,20015,9.90423727142667,172,45,59,6,0,3,8,"Major",33,0
"149","Those Eyes","New West",2019,5,1507,7.3178761986265,120,60,35,73,0,3,31,"Major",24,0
"150","El Gordo Trae El Mando","Chino Pacas",2023,1,539,6.289715570909,140,74,80,18,0,5,5,"Minor",96,1
"151","Mi Bello Angel","Natanael Cano",2023,6,86,4.45434729625351,128,81,77,1,0,5,9,"Minor",90,0
"152","Bye","Peso Pluma",2023,5,324,5.78074351579233,122,78,81,57,0,5,10,"Major",70,0
"153","Danza Kuduro","Don Omar, Lucenzo",2010,1,17138,9.74905349922906,130,47,92,8,0,24,5,"Major",86,0
"154","Nosso Quadro","Ana Castela, AgroPlay",2023,2,894,6.79570577517351,160,69,71,33,0,20,31,"Major",61,0
"155","Locked Out Of Heaven","Bruno Mars",2012,12,1622,7.39141523467536,144,73,70,6,0,5,28,"Major",87,0
"156","Un Finde | CROSSOVER #2","Big One, FMK, Ke personajes",2023,4,561,6.3297209055227,192,50,52,11,0,6,28,"Major",85,0
"157","Jimmy Cooks (feat. 21 Savage)","Drake, 21 Savage",2022,6,5871,8.67778025606419,163,54,67,0,0,17,9,"Major",40,0
"158","Counting Stars","OneRepublic",2013,1,29215,10.2824375549885,122,66,71,6,0,4,12,"Minor",48,0
"159","Ghost","Justin Bieber",2021,3,5866,8.6769282495374,154,61,74,21,0,6,40,"Major",41,0
"160","Under The Influence","Chris Brown",2019,10,3859,8.25816336153762,117,73,69,6,0,4,11,"Minor",31,0
"161","PRC","Natanael Cano, Peso Pluma",2023,1,961,6.86797440897029,138,78,83,10,0,5,12,"Minor",89,1
"162","Gasolina","Daddy Yankee",2004,7,6457,8.77292009262647,96,86,80,33,0,6,8,"Major",74,0
"163","One Dance","Drake, WizKid, Kyla",2016,4,43257,10.6749143489748,104,77,63,1,0,5,36,"Major",36,0
"164","Enchanted","Taylor Swift",2010,1,4564,8.42595471098197,164,45,62,8,0,3,16,"Major",24,0
"165","Save Your Tears","The Weeknd",2020,3,12688,9.44841194387463,118,68,82,2,0,3,50,"Major",61,0
"166","Sure Thing","Miguel",2010,5,13801,9.53249633228804,81,68,60,3,0,10,19,"Minor",51,0
"167","Every Breath You Take - Remastered 2003","The Police",1983,1,22439,10.0185557953638,117,82,45,54,0,3,7,"Major",73,0
"168","The Night We Met","Lord Huron",2015,2,18515,9.82633649334771,174,45,37,97,25,4,64,"Major",10,0
"169","We Found Love","Rihanna, Calvin Harris",2011,1,36843,10.5144209202785,128,73,77,3,0,4,11,"Major",60,0
"170","When I Was Your Man","Bruno Mars",2012,12,2420,7.79152281915073,145,60,27,94,0,4,14,"Major",43,0
"171","Let Me Down Slowly","Alec Benjamin",2018,5,5897,8.6821990260005,150,65,55,73,0,3,14,"Minor",51,0
"172","Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",2023,6,727,6.58892647753352,90,60,53,4,0,4,21,"Minor",13,0
"173","Do I Wanna Know?","Arctic Monkeys",2013,1,33783,10.4277129963651,85,55,53,17,0,3,22,"Major",42,0
"174","Demons","Imagine Dragons",2012,1,26694,10.1921941000341,180,33,71,20,0,5,28,"Major",38,0
"175","ýýýýýýýýýýýý","YOASOBI",2023,4,356,5.87493073085203,166,57,94,11,0,9,37,"Major",84,0
"176","Reminder","The Weeknd",2016,11,6518,8.78232285939751,160,71,50,16,0,22,16,"Major",40,0
"177","Shake It Off","Taylor Swift",2014,1,21335,9.9681041956221,160,65,80,5,0,16,41,"Major",95,1
"178","Why'd You Only Call Me When You're High?","Arctic Monkeys",2013,1,23389,10.0600211053509,92,70,63,4,0,4,8,"Major",81,0
"179","SNAP","Rosa Linn",2022,3,3202,8.07153089355666,170,56,64,11,0,6,45,"Major",53,0
"180","Shape of You","Ed Sheeran",2017,1,32181,10.3791314952655,96,83,65,58,0,8,9,"Minor",93,0
"181","Night Changes","One Direction",2014,11,7124,8.87122464440955,120,67,52,86,0,4,12,"Major",40,0
"182","Fin de Semana","Oscar Maydon, Junior H",2023,1,592,6.38350663488401,98,70,54,6,0,8,9,"Major",37,0
"183","Creep","Radiohead",1992,9,36724,10.5111857712636,92,53,34,1,0,4,12,"Major",12,1
"184","Car's Outside","James Arthur",2019,10,794,6.67708346124714,150,34,56,4,0,3,11,"Major",24,0
"185","Apocalypse","Cigarettes After Sex",2017,3,13091,9.4796802501801,94,37,47,2,46,3,11,"Major",17,0
"186","Cheques","Shubh",2023,5,67,4.20469261939097,90,74,63,26,0,5,27,"Minor",36,0
"187","Pink + White","Frank Ocean",2016,8,21574,9.97924416493538,160,54,55,67,0,11,42,"Major",54,0
"188","Circles","Post Malone",2019,8,19664,9.88654483180582,120,70,75,24,0,4,9,"Major",59,0
"189","Just The Way You Are","Bruno Mars",2010,1,21106,9.95731263923104,109,63,85,1,0,5,9,"Major",46,0
